top_gene_count,target_edge_count,method,num_nodes,num_edges,mean_ratio,std_ratio,median_runtime_ms,retention_vs_classical,adaptation_size,benchmark_size,training_best_loss,training_best_epoch,training_epochs_run,sweep_runtime_s
4,3,Classical depth-2 search,4.0,3.0,0.9106913426144806,4.881593737385007e-12,136.3102504999998,1.0,12,4,0.02072223999372606,250,250,4.263603292000001
4,3,Graph-conditioned GNN (ours),4.0,3.0,0.861870877918309,0.05499436267037692,0.15614600000013468,0.9463918647167391,12,4,0.02072223999372606,250,250,4.263603292000001
4,3,Heuristic mean-angle initializer,4.0,3.0,0.8952013001137318,9.064933036736789e-17,0.09437450000016057,0.9829908973810173,12,4,0.02072223999372606,250,250,4.263603292000001
6,6,Classical depth-2 search,6.0,6.0,0.9213670706360164,0.004287929417372227,199.90112500000023,1.0,12,4,0.0010750034634838812,238,250,4.359238083
6,6,Graph-conditioned GNN (ours),6.0,6.0,0.9196249173959694,0.006862483591202322,0.21727100000035193,0.9981091648534341,12,4,0.0010750034634838812,238,250,4.359238083
6,6,Heuristic mean-angle initializer,6.0,6.0,0.9188847004714216,0.007259647921112481,0.14679150000063146,0.9973057750339598,12,4,0.0010750034634838812,238,250,4.359238083
8,11,Classical depth-2 search,8.0,11.0,0.8649334997694043,0.055047410073895686,314.3530830000003,1.0,12,4,0.01151528669288382,249,250,6.037146625000002
8,11,Graph-conditioned GNN (ours),8.0,11.0,0.8698896344358928,0.04841708071865982,0.2649159999990047,1.0057300759744072,12,4,0.01151528669288382,249,250,6.037146625000002
8,11,Heuristic mean-angle initializer,8.0,11.0,0.8731753687905166,0.04447917050602337,0.21287450000073704,1.0095289048502685,12,4,0.01151528669288382,249,250,6.037146625000002
10,18,Classical depth-2 search,10.0,18.0,0.8675708486350981,0.03301380422429003,461.87222899999904,1.0,12,4,0.003736579317774158,8,48,7.8290575419999975
10,18,Graph-conditioned GNN (ours),10.0,18.0,0.8624695157530484,0.034546467171559535,0.3936874999990181,0.9941199812210434,12,4,0.003736579317774158,8,48,7.8290575419999975
10,18,Heuristic mean-angle initializer,10.0,18.0,0.8667345507260742,0.032851381568192464,0.3357504999996763,0.9990360465541925,12,4,0.003736579317774158,8,48,7.8290575419999975
