training_seed,method,num_nodes,num_edges,mean_ratio,std_ratio,median_runtime_ms,retention_vs_classical,training_best_loss,training_best_epoch,training_epochs_run
3,Classical depth-2 search,10.0,18.0,0.8686484466150648,0.030812589742998095,1051.2247289999978,1.0,0.03452638638555072,185,235
3,Graph-conditioned GNN (ours),10.0,18.0,0.8637918658576593,0.03126400639071699,0.4156249999986983,0.9944090376534598,0.03452638638555072,185,235
3,Heuristic mean-angle initializer,10.0,18.0,0.8634241368816368,0.031270726305246854,0.34660400000063873,0.993985703015085,0.03452638638555072,185,235
7,Classical depth-2 search,10.0,18.0,0.8686484466150648,0.030812589742998095,1064.7244795000006,1.0,0.0016235409240531833,486,500
7,Graph-conditioned GNN (ours),10.0,18.0,0.861321861018132,0.04013389313251703,0.406292000000974,0.991565534221027,0.0016235409240531833,486,500
7,Heuristic mean-angle initializer,10.0,18.0,0.8634241368816368,0.031270726305246854,0.3552085000038119,0.993985703015085,0.0016235409240531833,486,500
11,Classical depth-2 search,10.0,18.0,0.8686484466150648,0.030812589742998095,1066.5318965000026,1.0,0.0008257303394808938,404,454
11,Graph-conditioned GNN (ours),10.0,18.0,0.8662919638568468,0.033421908946788606,0.39854199999922457,0.9972871847438389,0.0008257303394808938,404,454
11,Heuristic mean-angle initializer,10.0,18.0,0.8634241368816368,0.031270726305246854,0.35172900000901564,0.993985703015085,0.0008257303394808938,404,454
19,Classical depth-2 search,10.0,18.0,0.8686484466150648,0.030812589742998095,1037.7670829999915,1.0,0.0014780081225846213,482,500
19,Graph-conditioned GNN (ours),10.0,18.0,0.8619928536266862,0.040818295562692126,0.39620900000159054,0.9923379901105976,0.0014780081225846213,482,500
19,Heuristic mean-angle initializer,10.0,18.0,0.8634241368816368,0.031270726305246854,0.33175000001506305,0.993985703015085,0.0014780081225846213,482,500
23,Classical depth-2 search,10.0,18.0,0.8686484466150648,0.030812589742998095,1026.5657915000047,1.0,0.001250095717343432,456,500
23,Graph-conditioned GNN (ours),10.0,18.0,0.8679749398552309,0.03145769982820995,0.42012549999981275,0.9992246497850098,0.001250095717343432,456,500
23,Heuristic mean-angle initializer,10.0,18.0,0.8634241368816368,0.031270726305246854,0.339749999994865,0.993985703015085,0.001250095717343432,456,500
