source_top_gene_count,target_top_gene_count,method,graph_id,num_nodes,num_edges,approximation_ratio,retention_vs_classical,runtime_ms
16,10,Classical depth-2 search,42,10,18,0.839408909008457,1.0,442.9554170000074
16,10,Source-family heuristic,42,10,18,0.820283252106508,0.9772153277184763,0.33470799999690826
16,10,Source-family descriptor regressor,42,10,18,0.6707940936188249,0.7991267264618307,0.6983329999883381
16,10,Cross-family GNN,42,10,18,0.6376260280036493,0.7596131291444577,0.8734160000045676
16,10,Classical depth-2 search,43,10,18,0.8455685334774612,1.0,460.5552919999951
16,10,Source-family heuristic,43,10,18,0.8224468462512168,0.9726554545127705,0.3352500000062264
16,10,Source-family descriptor regressor,43,10,18,0.6900768727052186,0.8161099253152526,0.5682080000042333
16,10,Cross-family GNN,43,10,18,0.6029980465628567,0.7131273488654835,0.7410829999940916
16,10,Classical depth-2 search,44,10,18,0.8973898108618161,1.0,473.33383400000173
16,10,Source-family heuristic,44,10,18,0.8737773547905306,0.9736876262851603,0.33487499999296233
16,10,Source-family descriptor regressor,44,10,18,0.7329490721181234,0.8167566237622303,0.5548329999953694
16,10,Cross-family GNN,44,10,18,0.6758124051251918,0.7530867822938278,0.7340010000120856
16,10,Classical depth-2 search,45,10,18,0.8961762130612774,1.0,476.80637500000955
16,10,Source-family heuristic,45,10,18,0.8754832128864535,0.9769096748237291,0.3357920000013337
16,10,Source-family descriptor regressor,45,10,18,0.7302243662713468,0.8148223035031802,0.5535410000021557
16,10,Cross-family GNN,45,10,18,0.6474273853456359,0.7224331285630398,0.8277920000097083
16,14,Classical depth-2 search,42,14,36,0.8349561818001043,1.0,2445.235000000011
16,14,Source-family heuristic,42,14,36,0.7806617584166103,0.9349733260655197,1.9258329999871648
16,14,Source-family descriptor regressor,42,14,36,0.6639959256757977,0.7952464334646534,2.1200000000050068
16,14,Cross-family GNN,42,14,36,0.6328827658599678,0.7579832087661402,3.7250420000134454
16,14,Classical depth-2 search,43,14,36,0.8922751544483566,1.0,2286.4280419999973
16,14,Source-family heuristic,43,14,36,0.8361870950594582,0.9371403998987572,2.0314989999974387
16,14,Source-family descriptor regressor,43,14,36,0.7018065016041121,0.7865359671905237,2.0568750000080627
16,14,Cross-family GNN,43,14,36,0.6812368736722988,0.7634829573322246,3.6657080000139786
16,14,Classical depth-2 search,44,14,36,0.8828870282011416,1.0,2453.4202499999938
16,14,Source-family heuristic,44,14,36,0.8236529296733542,0.9329086319815172,1.8515839999935224
16,14,Source-family descriptor regressor,44,14,36,0.7264047211034875,0.8227606680137972,2.0414170000009335
16,14,Cross-family GNN,44,14,36,0.7235228158646402,0.8194964845488764,3.625206999984698
16,14,Classical depth-2 search,45,14,36,0.8796214945479996,1.0,2439.874125000003
16,14,Source-family heuristic,45,14,36,0.8206297966351989,0.9329351337155374,1.7754170000046088
16,14,Source-family descriptor regressor,45,14,36,0.7157672392433958,0.8137218606864517,2.294040999984759
16,14,Cross-family GNN,45,14,36,0.7177680692399039,0.8159965095085979,3.6787499999917372
