top_gene_count,target_edge_count,method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,runtime_ms,sweep_runtime_s
8,11,Heuristic mean-angle initializer,42,8,11,7.692664665960564,9.0,0.8547405184400626,0.22045799999759197,5.644796166000001
8,11,Graph-conditioned GNN (ours),42,8,11,7.678069853729848,9.0,0.8531188726366499,0.3459590000005619,5.644796166000001
8,11,Classical depth-2 search,43,8,11,7.325308082603248,9.0,0.8139231202892498,286.7071249999995,5.644796166000001
8,11,Heuristic mean-angle initializer,43,8,11,7.672648147446058,9.0,0.8525164608273398,0.21566599999900404,5.644796166000001
8,11,Graph-conditioned GNN (ours),43,8,11,7.579783465628703,9.0,0.8421981628476336,0.29812500000048203,5.644796166000001
8,11,Classical depth-2 search,44,8,11,7.543382154123632,8.0,0.942922769265454,285.3895419999972,5.644796166000001
8,11,Heuristic mean-angle initializer,44,8,11,7.517198587019427,8.0,0.9396498233774284,0.201209000000091,5.644796166000001
8,11,Graph-conditioned GNN (ours),44,8,11,7.536810777596111,8.0,0.9421013471995139,0.2630000000003463,5.644796166000001
8,11,Classical depth-2 search,45,8,11,7.621588255224694,9.0,0.8468431394694105,292.8827080000005,5.644796166000001
8,11,Heuristic mean-angle initializer,45,8,11,7.612152052655122,9.0,0.8457946725172358,0.20420899999962216,5.644796166000001
8,11,Graph-conditioned GNN (ours),45,8,11,7.5792613955379675,9.0,0.8421401550597741,0.24937500000277169,5.644796166000001
10,18,Classical depth-2 search,42,10,18,11.750066898069761,14.0,0.8392904927192687,446.70916699999805,7.6786980410000005
10,18,Heuristic mean-angle initializer,42,10,18,11.741423199699469,14.0,0.8386730856928192,0.3534170000030201,7.6786980410000005
10,18,Graph-conditioned GNN (ours),42,10,18,11.674107809244552,14.0,0.8338648435174679,0.46654199999807133,7.6786980410000005
10,18,Classical depth-2 search,43,10,18,11.568547733329357,13.0,0.8898882871791813,439.9680830000001,7.6786980410000005
10,18,Heuristic mean-angle initializer,43,10,18,11.546186281225307,13.0,0.8881681754788697,0.35441700000049536,7.6786980410000005
10,18,Graph-conditioned GNN (ours),43,10,18,11.480671405582708,13.0,0.8831285696602083,0.3968749999998522,7.6786980410000005
10,18,Classical depth-2 search,44,10,18,11.723532320614753,13.0,0.9018101785088272,472.17420899999854,7.6786980410000005
10,18,Heuristic mean-angle initializer,44,10,18,11.718510128517252,13.0,0.9014238560397886,0.3504999999996983,7.6786980410000005
10,18,Graph-conditioned GNN (ours),44,10,18,11.704964265367504,13.0,0.9003818665667311,0.404750000001286,7.6786980410000005
10,18,Classical depth-2 search,45,10,18,11.750122105863614,14.0,0.8392944361331153,466.56979199999785,7.6786980410000005
10,18,Heuristic mean-angle initializer,45,10,18,11.741423199699469,14.0,0.8386730856928192,0.3433749999999236,7.6786980410000005
10,18,Graph-conditioned GNN (ours),45,10,18,11.655038965749013,14.0,0.8325027832677866,0.385000000001412,7.6786980410000005
12,26,Classical depth-2 search,42,12,26,16.03102155268337,18.0,0.8906123084824095,1024.2509159999997,17.064412000000004
12,26,Heuristic mean-angle initializer,42,12,26,15.947629335122373,18.0,0.8859794075067985,0.7604999999983875,17.064412000000004
12,26,Graph-conditioned GNN (ours),42,12,26,15.900773838910276,18.0,0.8833763243839042,0.8933749999968654,17.064412000000004
12,26,Classical depth-2 search,43,12,26,15.602521223882599,18.0,0.8668067346601444,978.1238330000051,17.064412000000004
12,26,Heuristic mean-angle initializer,43,12,26,15.906694428214063,18.0,0.8837052460118924,0.7524999999972692,17.064412000000004
12,26,Graph-conditioned GNN (ours),43,12,26,15.917550566686693,18.0,0.8843083648159273,0.8352080000051387,17.064412000000004
12,26,Classical depth-2 search,44,12,26,16.062920001267585,18.0,0.8923844445148659,1034.6003749999966,17.064412000000004
12,26,Heuristic mean-angle initializer,44,12,26,16.017430809363514,18.0,0.8898572671868619,0.7577919999945948,17.064412000000004
12,26,Graph-conditioned GNN (ours),44,12,26,16.028498319086218,18.0,0.8904721288381232,0.8170000000049527,17.064412000000004
12,26,Classical depth-2 search,45,12,26,16.52094738612138,20.0,0.826047369306069,1012.3397910000023,17.064412000000004
12,26,Heuristic mean-angle initializer,45,12,26,16.45967037597979,20.0,0.8229835187989896,0.762375000000759,17.064412000000004
12,26,Graph-conditioned GNN (ours),45,12,26,16.386196003657425,20.0,0.8193098001828713,0.8075419999968858,17.064412000000004
14,36,Classical depth-2 search,42,14,36,21.935603547364874,25.0,0.8774241418945949,2402.1677909999967,40.955618792
14,36,Heuristic mean-angle initializer,42,14,36,21.930814086152637,25.0,0.8772325634461055,1.826000000008321,40.955618792
14,36,Graph-conditioned GNN (ours),42,14,36,21.792469972448714,25.0,0.8716987988979485,2.0875000000017963,40.955618792
14,36,Classical depth-2 search,43,14,36,21.100966464552513,24.0,0.8792069360230214,2429.026583999999,40.955618792
14,36,Heuristic mean-angle initializer,43,14,36,21.46705216864759,24.0,0.894460507026983,1.8218750000045247,40.955618792
14,36,Graph-conditioned GNN (ours),43,14,36,21.289455240697563,24.0,0.8870606350290652,1.8904999999875827,40.955618792
14,36,Classical depth-2 search,44,14,36,22.043105280590275,26.0,0.8478117415611645,2395.3845000000056,40.955618792
14,36,Heuristic mean-angle initializer,44,14,36,22.03375341945739,26.0,0.847452054594515,1.9397909999980811,40.955618792
14,36,Graph-conditioned GNN (ours),44,14,36,21.94960771296548,26.0,0.8442156812679031,2.0071669999879305,40.955618792
14,36,Classical depth-2 search,45,14,36,21.976293954415866,25.0,0.8790517581766346,2422.613374999997,40.955618792
14,36,Heuristic mean-angle initializer,45,14,36,21.96818256357482,25.0,0.8787273025429928,1.837291999990498,40.955618792
14,36,Graph-conditioned GNN (ours),45,14,36,21.89920820774917,25.0,0.8759683283099667,1.9832090000022617,40.955618792
16,48,Classical depth-2 search,42,16,48,28.316801515541066,32.0,0.8849000473606583,7903.477250000009,145.722152084
16,48,Heuristic mean-angle initializer,42,16,48,24.096050597536298,32.0,0.7530015811730093,6.1009169999977075,145.722152084
16,48,Graph-conditioned GNN (ours),42,16,48,23.797010354902763,32.0,0.7436565735907114,6.278667000003679,145.722152084
16,48,Classical depth-2 search,43,16,48,28.642435817388744,32.0,0.8950761192933983,8103.342124999983,145.722152084
16,48,Heuristic mean-angle initializer,43,16,48,24.904014857131074,32.0,0.778250464285346,6.342041999999992,145.722152084
16,48,Graph-conditioned GNN (ours),43,16,48,27.879183552724616,32.0,0.8712244860226442,6.187584000002744,145.722152084
16,48,Classical depth-2 search,44,16,48,28.993054756354812,34.0,0.8527369045986709,8385.251915999987,145.722152084
16,48,Heuristic mean-angle initializer,44,16,48,25.183777976606315,34.0,0.7406993522531269,6.312500000007049,145.722152084
16,48,Graph-conditioned GNN (ours),44,16,48,27.129039629988412,34.0,0.7979129302937769,6.415209000010691,145.722152084
16,48,Classical depth-2 search,45,16,48,29.140214582663933,35.0,0.8325775595046838,8478.468750000018,145.722152084
16,48,Heuristic mean-angle initializer,45,16,48,24.834336248134612,35.0,0.7095524642324175,6.207208000006403,145.722152084
16,48,Graph-conditioned GNN (ours),45,16,48,26.636195444032538,35.0,0.7610341555437868,6.3829999999995835,145.722152084
