method,num_nodes,num_edges,mean_ratio,std_ratio,mean_retention,mean_angle_l2,mean_distance_to_source_centroid,median_runtime_ms
Classical depth-2 search,12.0,18.0,0.8600406922571073,0.024422770767087328,1.0,0.0,0.13313397558297546,704.9766459999915
Transcriptomic heuristic,12.0,18.0,0.8505716470511335,0.022511131952834156,0.9890319525795859,0.13313399467240933,2.6545870188517664e-08,0.5191260000074749
Transcriptomic descriptor regressor,12.0,18.0,0.7419000203379877,0.029012357244337927,0.8626406240159065,0.5441668843643813,0.4236303781419985,0.7105419999930973
Transcriptomic GNN transfer,12.0,18.0,0.5781314941902378,0.02236120871005408,0.6723050579431105,2.1378265492814843,2.03114415425225,1.1960414999947488
Morphology heuristic,12.0,18.0,0.8579924592165749,0.024437877825613102,0.9976191326580675,0.05341952486236373,0.13593203181438862,0.5388120000020535
Morphology descriptor regressor,12.0,18.0,0.8530473608245377,0.01892584480893088,0.9920087308640553,0.07788493489829072,0.1582374108121296,0.6759995000038543
Morphology GNN (oracle),12.0,18.0,0.85447410510583,0.026022336096710515,0.9934972335503113,0.09313478932854313,0.0909045548483083,1.1641460000006987
