training_seed,method,graph_id,num_nodes,num_edges,expected_cut,best_cut,approximation_ratio,runtime_ms
3,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,919.5308330000032
3,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.36749999999585725
3,Graph-conditioned GNN (ours),42,10,18,11.698437336830965,14.0,0.8356026669164975,0.47962500000409136
3,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,999.0731250000024
3,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.3624999999942702
3,Graph-conditioned GNN (ours),43,10,18,11.755976811764281,14.0,0.8397126294117344,0.5111249999956158
3,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1079.3220829999939
3,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.3485829999974044
3,Graph-conditioned GNN (ours),44,10,18,11.602340562611165,13.0,0.8924877355854742,0.42666699999927005
3,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1094.4920840000023
3,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.3446250000038731
3,Graph-conditioned GNN (ours),45,10,18,11.593887874407898,13.0,0.8918375288006075,0.4045829999981265
3,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,1023.1273750000014
3,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.3419170000000804
3,Graph-conditioned GNN (ours),46,10,18,11.63109140270371,14.0,0.830792243050265,0.39249999999668717
3,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1139.6882080000025
3,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.343499999999608
3,Graph-conditioned GNN (ours),47,10,18,11.600139087957906,13.0,0.8923183913813774,0.3908750000007899
7,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,932.464374999995
7,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.36791600000185554
7,Graph-conditioned GNN (ours),42,10,18,11.314537294248051,14.0,0.8081812353034322,0.5052500000033433
7,Classical depth-2 search,43,10,18,11.83796040766207,14.0,0.8455686005472908,1002.2545000000065
7,Heuristic mean-angle initializer,43,10,18,11.751695948611708,14.0,0.8394068534722648,0.34558299999787323
7,Graph-conditioned GNN (ours),43,10,18,11.813968846363027,14.0,0.8438549175973591,0.42579099999784376
7,Classical depth-2 search,44,10,18,11.666067556580503,13.0,0.8973898120446541,1093.0002919999993
7,Heuristic mean-angle initializer,44,10,18,11.597600483237912,13.0,0.8921231140952239,0.35375000000215095
7,Graph-conditioned GNN (ours),44,10,18,11.663461584418675,13.0,0.8971893526475904,0.4011669999925971
7,Classical depth-2 search,45,10,18,11.650290769798968,13.0,0.896176213061459,1110.1428330000117
7,Heuristic mean-angle initializer,45,10,18,11.588734134597127,13.0,0.891441087276702,0.34745899999677476
7,Graph-conditioned GNN (ours),45,10,18,11.64875420526938,13.0,0.8960580157899524,0.4085420000023987
7,Classical depth-2 search,46,10,18,11.717125975406598,14.0,0.8369375696718998,1036.448667000002
7,Heuristic mean-angle initializer,46,10,18,11.623542937662677,14.0,0.8302530669759055,0.3622500000091122
7,Graph-conditioned GNN (ours),46,10,18,11.570382073884165,14.0,0.8264558624202974,0.40404199999954926
7,Classical depth-2 search,47,10,18,11.65324973227482,13.0,0.8964038255596015,1150.154208999993
7,Heuristic mean-angle initializer,47,10,18,11.59567621695667,13.0,0.8919750936120516,0.3566670000054728
7,Graph-conditioned GNN (ours),47,10,18,11.650493170552089,13.0,0.8961917823501607,0.40208300001154385
11,Classical depth-2 search,42,10,18,11.751805223276772,14.0,0.8394146588054837,931.6310000000101
11,Heuristic mean-angle initializer,42,10,18,11.694838482007416,14.0,0.8353456058576726,0.35508300000230975
11,Graph-conditioned GNN (ours),42,10,18,11.6748146057538,14.0,0.8339153289824143,0.4691249999950742
