source_top_gene_count,target_top_gene_count,method,num_nodes,num_edges,mean_ratio,std_ratio,retention_vs_classical,median_runtime_ms
16,10,Classical depth-2 search,10.0,18.0,0.8696358666022529,0.03145142763715098,1.0,466.9445629999984
16,10,Cross-family GNN,10.0,18.0,0.6409659662593334,0.03004852936984175,0.7370650972167021,0.7844375000018999
16,10,Source-family descriptor regressor,10.0,18.0,0.7060111011783784,0.03058362166965307,0.8117038947606234,0.5615204999998014
16,10,Source-family heuristic,10.0,18.0,0.8479976665086773,0.030773260953185912,0.975117020835034,0.33506249999959437
16,14,Classical depth-2 search,14.0,36.0,0.8724349647494005,0.02555506564001482,1.0,2442.554562500007
16,14,Cross-family GNN,14.0,36.0,0.6888526311592027,0.04174825286013714,0.7892397900389598,3.672229000002858
16,14,Source-family descriptor regressor,14.0,36.0,0.7019935969066983,0.027260925830415225,0.8045662323388565,2.0884375000065347
16,14,Source-family heuristic,14.0,36.0,0.8152828949461555,0.024043401839043896,0.9344893729153328,1.8887084999903436
